# output from https://query.wikidata.org/#SELECT%20%3Fhuman%20%3FhumanLabel%0AWHERE%0A%7B%0A%20%20%3Fhuman%20wdt%3AP21%20wd%3AQ6581097%20.%0A%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22%20%7D%0A%7D%20LIMIT%202500%0A
human	humanLabel
http://www.wikidata.org/entity/Q1699	Nesta Carter
http://www.wikidata.org/entity/Q1702	Stephen Kiprotich
http://www.wikidata.org/entity/Q1704	Abel Kirui
http://www.wikidata.org/entity/Q1705	Wilson Kipsang Kiprotich
http://www.wikidata.org/entity/Q1708	Chen Ding
http://www.wikidata.org/entity/Q1712	Erick Barrondo
http://www.wikidata.org/entity/Q1716	Renaud
http://www.wikidata.org/entity/Q1717	Sergey Kirdyapkin
http://www.wikidata.org/entity/Q1728	Jared Tallent
http://www.wikidata.org/entity/Q1732	Ivan Ukhov
http://www.wikidata.org/entity/Q1736	Erik Kynard
http://www.wikidata.org/entity/Q1738	Robert Grabarz
http://www.wikidata.org/entity/Q1739	Mutaz Essa Barshim
http://www.wikidata.org/entity/Q1740	Sasuke Uchiha
http://www.wikidata.org/entity/Q1742	Renaud Lavillenie
http://www.wikidata.org/entity/Q1743	Björn Otto
http://www.wikidata.org/entity/Q1745	Greg Rutherford
http://www.wikidata.org/entity/Q1747	Mitchell Watt
http://www.wikidata.org/entity/Q1750	Will Claye
http://www.wikidata.org/entity/Q1751	Christian Taylor
http://www.wikidata.org/entity/Q1752	Macrinus
http://www.wikidata.org/entity/Q1753	Fabrizio Donato
http://www.wikidata.org/entity/Q1755	Tomasz Majewski
http://www.wikidata.org/entity/Q1758	David Storl
http://www.wikidata.org/entity/Q1760	Reese Hoffa
http://www.wikidata.org/entity/Q1762	Elagabalus
http://www.wikidata.org/entity/Q1766	Robert Harting
http://www.wikidata.org/entity/Q1767	Kakashi Hatake
http://www.wikidata.org/entity/Q1769	Alexander Severus
http://www.wikidata.org/entity/Q1771	Ehsan Hadadi
http://www.wikidata.org/entity/Q1776	Gerd Kanter
http://www.wikidata.org/entity/Q1777	Maximinus Thrax
http://www.wikidata.org/entity/Q1778	Krisztián Pars
http://www.wikidata.org/entity/Q1779	Louis Armstrong
http://www.wikidata.org/entity/Q1782	Gordian I
http://www.wikidata.org/entity/Q1783	Primož Kozmus
http://www.wikidata.org/entity/Q1784	Koji Murofushi
http://www.wikidata.org/entity/Q1785	Charles Aznavour
http://www.wikidata.org/entity/Q1786	Jan I Carondelet
http://www.wikidata.org/entity/Q1787	Keshorn Walcott
http://www.wikidata.org/entity/Q1788	Claude I Carondelet
http://www.wikidata.org/entity/Q1789	Ashton Eaton
http://www.wikidata.org/entity/Q1791	Jan II Carondelet
http://www.wikidata.org/entity/Q1793	Trey Hardee
http://www.wikidata.org/entity/Q1796	Leonel Suárez
http://www.wikidata.org/entity/Q1797	Pupienus
http://www.wikidata.org/entity/Q1798	Ferry Carondelet
http://www.wikidata.org/entity/Q1802	Daniel Balavoine
http://www.wikidata.org/entity/Q1803	Gordian II
http://www.wikidata.org/entity/Q1805	Balbinus
http://www.wikidata.org/entity/Q1812	Gordian III
http://www.wikidata.org/entity/Q1817	Philip the Arab
http://www.wikidata.org/entity/Q1830	Decius
http://www.wikidata.org/entity/Q1835	Zinedine Zidane
http://www.wikidata.org/entity/Q1839	Laurent Blanc
http://www.wikidata.org/entity/Q1868	Paul Otlet
http://www.wikidata.org/entity/Q1878	Michael Schmidt-Salomon
http://www.wikidata.org/entity/Q1879	Corentin Martins
http://www.wikidata.org/entity/Q1883	Sabri Lamouchi
http://www.wikidata.org/entity/Q1885	Jürgen Locadia
http://www.wikidata.org/entity/Q1894	Memphis Depay
http://www.wikidata.org/entity/Q1907	Hugo Lloris
http://www.wikidata.org/entity/Q1908	Mathieu Debuchy
http://www.wikidata.org/entity/Q1909	Adil Rami
http://www.wikidata.org/entity/Q1910	Yohan Cabaye
http://www.wikidata.org/entity/Q1911	Olivier Giroud
http://www.wikidata.org/entity/Q1912	Karim Benzema
http://www.wikidata.org/entity/Q1913	Florent Malouda
http://www.wikidata.org/entity/Q1915	Laurent Koscielny
http://www.wikidata.org/entity/Q1916	Patrice Evra
http://www.wikidata.org/entity/Q1917	Philippe Mexès
http://www.wikidata.org/entity/Q1918	Franck Ribéry
http://www.wikidata.org/entity/Q1919	Mathieu Valbuena
http://www.wikidata.org/entity/Q1920	Samir Nasri
http://www.wikidata.org/entity/Q1921	Blaise Matuidi
http://www.wikidata.org/entity/Q1922	Anthony Réveillère
http://www.wikidata.org/entity/Q1923	Jérémy Ménez
http://www.wikidata.org/entity/Q1924	Steve Mandanda
http://www.wikidata.org/entity/Q1925	Yann M'Vila
http://www.wikidata.org/entity/Q1926	Alou Diarra
http://www.wikidata.org/entity/Q1927	Marvin Martin
http://www.wikidata.org/entity/Q1928	Hatem Ben Arfa
http://www.wikidata.org/entity/Q1929	Gaël Clichy
http://www.wikidata.org/entity/Q1931	Cédric Carrasso
http://www.wikidata.org/entity/Q1934	Sidney Govou
http://www.wikidata.org/entity/Q1935	Eric Abidal
http://www.wikidata.org/entity/Q1936	Djibril Cissé
http://www.wikidata.org/entity/Q1937	William Gallas
http://www.wikidata.org/entity/Q1938	Bacary Sagna
http://www.wikidata.org/entity/Q1939	Nicolas Anelka
http://www.wikidata.org/entity/Q1940	André-Pierre Gignac
http://www.wikidata.org/entity/Q1942	Sébastien Squillaci
http://www.wikidata.org/entity/Q1943	Abou Diaby
http://www.wikidata.org/entity/Q1944	Jérémy Toulalan
http://www.wikidata.org/entity/Q1945	Benjamin Raich
http://www.wikidata.org/entity/Q1950	Alberto Tomba
http://www.wikidata.org/entity/Q1955	Gustav Thöni
http://www.wikidata.org/entity/Q1956	Hermann Maier
http://www.wikidata.org/entity/Q1993	Masashi Kishimoto
http://www.wikidata.org/entity/Q2001	Stanley Kubrick
http://www.wikidata.org/entity/Q2010	Eiichiro Oda
http://www.wikidata.org/entity/Q2022	Cesare Pavese
http://www.wikidata.org/entity/Q2031	Marc Girardelli
